년도,월,지점 번호,지점명,월평균 기온,월평균 지면온도
2014,01,127,충주,-2.0741935483870964,-1.103225806451613
2014,02,127,충주,1.2964285714285715,1.9714285714285713
2014,03,127,충주,6.935483870967742,6.977419354838707
2014,04,127,충주,13.133333333333333,13.673333333333336
2014,05,127,충주,18.535483870967738,20.9
2014,06,127,충주,22.686666666666664,26.133333333333333
2014,07,127,충주,25.477419354838712,27.94193548387097
2014,08,127,충주,23.799999999999994,25.241935483870964
2014,09,127,충주,20.360000000000003,22.119999999999997
2014,10,127,충주,13.14516129032258,14.977419354838709
2014,11,127,충주,6.78,7.739999999999999
2014,12,127,충주,-3.6677419354838703,-0.7612903225806452
2015,01,127,충주,-1.6645161290322583,-0.39354838709677414
2015,02,127,충주,0.5750000000000002,2.0464285714285713
2015,03,127,충주,5.619354838709678,5.741935483870968
2015,04,127,충주,12.483333333333336,12.920000000000003
2015,05,127,충주,18.503225806451617,21.690322580645162
2015,06,127,충주,22.99666666666667,27.93333333333334
2015,07,127,충주,25.016129032258068,26.9483870967742
2015,08,127,충주,25.25483870967742,27.503225806451617
2015,09,127,충주,19.933333333333334,22.083333333333332
2015,10,127,충주,13.39032258064516,15.006451612903223
2015,11,127,충주,8.71,9.983333333333336
2015,12,127,충주,1.154838709677419,3.0516129032258066
2016,01,127,충주,-3.229032258064516,-0.7580645161290323
2016,02,127,충주,-0.12413793103448295,1.189655172413793
2016,03,127,충주,6.377419354838708,7.283870967741936
2016,04,127,충주,14.133333333333333,14.796666666666665
2016,05,127,충주,18.787096774193554,20.516129032258064
2016,06,127,충주,23.343333333333327,26.980000000000004
2016,07,127,충주,25.658064516129034,27.5741935483871
2016,08,127,충주,26.78064516129032,30.36774193548387
2016,09,127,충주,21.503333333333334,23.666666666666664
2016,10,127,충주,14.832258064516129,16.651612903225804
2016,11,127,충주,5.896666666666666,7.5233333333333325
2016,12,127,충주,0.713333333333333,2.4966666666666666
2017,01,127,충주,-2.470967741935484,0.10967741935483896
2017,02,127,충주,-0.22857142857142848,1.6392857142857142
2017,03,127,충주,5.487096774193549,6.512903225806451
2017,04,127,충주,13.499999999999996,14.386666666666667
2017,05,127,충주,18.654838709677417,22.43225806451613
2017,06,127,충주,22.433333333333337,27.93333333333333
2017,07,127,충주,26.25806451612903,27.767741935483865
2017,08,127,충주,25.14193548387097,27.035483870967745
2017,09,127,충주,19.643333333333327,21.35666666666667
2017,10,127,충주,14.31290322580645,16.190322580645162
2017,11,127,충주,4.3999999999999995,6.373333333333334
2017,12,127,충주,-2.790322580645162,-0.9451612903225807
2018,01,127,충주,-4.748387096774194,-1.4645161290322577
2018,02,127,충주,-2.467857142857144,-0.31785714285714306
2018,03,127,충주,7.490322580645162,8.506451612903225
2018,04,127,충주,12.8,14.560000000000002
2018,05,127,충주,17.936666666666667,20.21333333333333
2018,06,127,충주,22.72666666666667,27.25
2018,07,127,충주,27.241935483870975,31.541935483870965
2018,08,127,충주,27.635483870967732,31.96129032258064
2018,09,127,충주,19.896666666666665,22.169999999999995
2018,10,127,충주,11.122580645161287,14.193548387096776
2018,11,127,충주,5.893333333333335,7.546666666666669
2018,12,127,충주,-1.8580645161290321,0.40322580645161316
2019,01,127,충주,-2.561290322580645,-1.367741935483871
2019,02,127,충주,0.4071428571428572,1.9785714285714284
2019,03,127,충주,6.035483870967742,6.929032258064516
2019,04,127,충주,11.376666666666667,13.109999999999998
2019,05,127,충주,18.293548387096777,23.038709677419348
2019,06,127,충주,21.719999999999995,27.37666666666667
2019,07,127,충주,24.974193548387102,27.806451612903224
2019,08,127,충주,26.01612903225807,28.103225806451608
2019,09,127,충주,21.09,23.180000000000007
2019,10,127,충주,14.177419354838708,15.70645161290322
2019,11,127,충주,6.173333333333333,7.376666666666668
2019,12,127,충주,-0.15161290322580645,1.12258064516129
2020,01,127,충주,0.6096774193548389,1.4548387096774194
2020,02,127,충주,1.793103448275862,3.727586206896552
2020,03,127,충주,7.009677419354839,8.483870967741936
2020,04,127,충주,10.226666666666667,13.979999999999997
2020,05,127,충주,17.848387096774196,21.132258064516126
2020,06,127,충주,23.36,27.17666666666667
2020,07,127,충주,23.132258064516126,25.86774193548387
2020,08,127,충주,26.119354838709675,27.587096774193547
2020,09,127,충주,19.563333333333333,22.04
2020,10,127,충주,11.809677419354838,14.496774193548386
2020,11,127,충주,6.5200000000000005,7.7333333333333325
2020,12,127,충주,-2.4866666666666664,0.4900000000000001
2021,01,127,충주,-3.63225806451613,-1.2129032258064516
2021,02,127,충주,1.6821428571428572,2.807142857142858
2021,03,127,충주,8.096774193548388,9.603225806451613
2021,04,127,충주,13.143333333333334,14.686666666666667
2021,05,127,충주,16.190322580645162,18.816129032258058
2021,06,127,충주,22.143333333333334,25.326666666666664
2021,07,127,충주,26.38064516129032,30.445161290322584
2021,08,127,충주,24.422580645161286,27.512903225806454
2021,09,127,충주,20.973333333333336,23.509999999999994
2021,10,127,충주,13.83548387096774,16.700000000000003
2021,11,127,충주,6.406666666666665,7.850000000000002
2021,12,127,충주,-0.5129032258064516,1.445161290322581
2022,01,127,충주,-3.4580645161290318,-0.632258064516129
2022,02,127,충주,-2.0571428571428574,1.2821428571428573
2022,03,127,충주,6.674193548387096,8.86774193548387
2022,04,127,충주,13.376666666666669,15.856666666666667
2022,05,127,충주,17.758064516129036,24.190322580645155
2022,06,127,충주,22.889999999999997,27.15
2022,07,127,충주,25.996774193548394,28.01612903225806
2022,08,127,충주,24.961290322580645,26.751612903225812
2022,09,127,충주,20.51333333333333,23.626666666666665
2022,10,127,충주,12.703225806451613,15.725806451612904
2022,11,127,충주,7.603333333333333,8.463333333333335
2022,12,127,충주,-4.8419354838709685,-0.20967741935483872
2023,01,127,충주,-3.1451612903225805,-1.0193548387096774
2023,02,127,충주,0.9392857142857143,1.5571428571428574
2023,03,127,충주,8.622580645161289,9.312903225806451
2023,04,127,충주,13.016666666666667,14.780000000000001
2023,05,127,충주,18.380645161290325,22.474193548387092
2023,06,127,충주,22.786666666666665,27.25666666666667
2023,07,127,충주,25.870967741935488,28.529032258064518
2023,08,127,충주,26.516129032258068,30.158064516129034
2023,09,127,충주,22.369999999999997,25.8
2023,10,127,충주,12.961290322580643,15.932258064516127
2023,11,127,충주,6.013333333333334,8.016666666666667
2023,12,127,충주,0.28064516129032213,2.1483870967741923
